"","Date2","Av_level","Area"
"496","1/9/2020",NA,NA
"497","1/10/2020",NA,NA
"498","1/11/2020",NA,NA
"499","1/12/2020",NA,NA
"500","1/13/2020",NA,NA
"501","1/14/2020",NA,NA
"502","1/15/2020",NA,NA
"503","1/16/2020",NA,NA
"504","1/17/2020",NA,NA
"505","1/18/2020",NA,NA
"506","1/19/2020",NA,NA
"507","1/20/2020",NA,NA
"508","1/21/2020",NA,NA
"509","1/22/2020",NA,NA
"510","1/23/2020",NA,NA
"511","1/24/2020",NA,NA
"512","1/25/2020",-14.41220647,NA
"513","1/26/2020",NA,NA
"514","1/27/2020",NA,NA
"515","1/28/2020",NA,NA
"516","1/29/2020",-18.04071341,NA
"517","1/30/2020",-16.35619506,NA
"518","1/31/2020",NA,NA
"519","2/1/2020",NA,2869.605395
"520","2/2/2020",NA,NA
"521","2/3/2020",NA,NA
"522","2/4/2020",NA,NA
"523","2/5/2020",NA,NA
"524","2/6/2020",NA,NA
"525","2/7/2020",NA,NA
"526","2/8/2020",NA,NA
"527","2/9/2020",NA,NA
"528","2/10/2020",NA,NA
"529","2/11/2020",NA,NA
"530","2/12/2020",NA,NA
"531","2/13/2020",NA,NA
"532","2/14/2020",NA,NA
"533","2/15/2020",NA,NA
"534","2/16/2020",NA,NA
"535","2/17/2020",NA,NA
"536","2/18/2020",NA,NA
"537","2/19/2020",NA,NA
"538","2/20/2020",NA,NA
"539","2/21/2020",NA,NA
"540","2/22/2020",NA,NA
"541","2/23/2020",-12.91217413,NA
"542","2/24/2020",NA,NA
"543","2/25/2020",NA,NA
"544","2/26/2020",NA,NA
"545","2/27/2020",-17.22180251,NA
"546","2/28/2020",-15.15386028,NA
"547","2/29/2020",NA,NA
"548","3/1/2020",NA,2904.915253
"549","3/2/2020",NA,2401.990595
"550","3/3/2020",NA,NA
"551","3/4/2020",NA,NA
"552","3/5/2020",NA,NA
"553","3/6/2020",NA,NA
"554","3/7/2020",NA,NA
"555","3/8/2020",NA,NA
"556","3/9/2020",NA,NA
"557","3/10/2020",NA,NA
"558","3/11/2020",NA,NA
"559","3/12/2020",NA,NA
"560","3/13/2020",NA,NA
"561","3/14/2020",NA,NA
"562","3/15/2020",NA,NA
"563","3/16/2020",NA,NA
"564","3/17/2020",NA,NA
"565","3/18/2020",NA,NA
"566","3/19/2020",NA,NA
"567","3/20/2020",NA,NA
"568","3/21/2020",NA,NA
"569","3/22/2020",NA,NA
"570","3/23/2020",NA,NA
"571","3/24/2020",NA,NA
"572","3/25/2020",NA,NA
"573","3/26/2020",NA,NA
"574","3/27/2020",-15.43770594,NA
"575","3/28/2020",-14.82368297,NA
"576","3/29/2020",NA,NA
"577","3/30/2020",NA,NA
"578","3/31/2020",NA,NA
"579","4/1/2020",NA,NA
